weigh,total,courier,consignnote
1.40,6.4000,5,MYCQY00006566
104.04,103.4000,1,SPT24003510
2.60,7.5000,5,MYCQY00006567
2.60,7.5000,5,MYCQY00006568
183.90,76.5900,1,SPT24003513
9.16,15.2000,5,MYCQY00006569
1.95,28.0900,3,XEN00001244
16.80,22.9000,1,SPT24003516
22.00,28.4000,5,MYCQY00006570
84.49,1110.2400,3,XEN00001245
15.50,210.6200,3,XEN00001246
36.50,484.4200,3,XEN00001247
4.20,9.7000,1,SPT24003521
9.46,16.1000,5,MYCQY00006571
2.60,7.5000,5,MYCQY00006572
11.86,18.5000,1,SPT24003524
1.65,6.5000,1,SPT24003525
1.65,6.5000,1,SPT24003526
1.65,6.5000,1,SPT24003527
1.65,6.5000,1,SPT24003528
1.65,6.5000,1,SPT24003529
1.65,6.5000,1,SPT24003530
1.65,6.5000,1,SPT24003531
1.65,6.5000,1,SPT24003532
1.65,6.5000,1,SPT24003533
1.65,6.5000,1,SPT24003534
1.65,6.5000,1,SPT24003535
1.65,6.5000,1,SPT24003536
1.65,6.5000,1,SPT24003537
1.65,6.5000,1,SPT24003538
1.65,6.5000,1,SPT24003539
1.65,6.5000,1,SPT24003540
1.65,6.5000,1,SPT24003541
1.65,6.5000,1,SPT24003542
1.65,6.5000,1,SPT24003543
1.65,6.5000,1,SPT24003544
1.65,6.5000,1,SPT24003545
1.65,6.5000,1,SPT24003546
12.80,19.7100,5,MYCQY00006573
11.48,17.3900,5,MYCQY00006574
12.94,19.7100,1,SPT24003549
11.48,17.3900,1,SPT24003550
11.48,17.3900,1,SPT24003551
1.00,6.5000,5,MYCQY00006575
11.48,17.3900,5,MYCQY00006576
13.00,8.0000,1,SPT24003554
17.00,25.5000,1,KLT24000008
106.48,116.7000,1,KLT24000009
4.32,9.7000,1,SPT24003555
0.70,6.4000,1,SPT24003556
3.50,8.6000,5,MYCQY00006577
1.30,28.0900,3,XEN00001248
16.70,22.9000,1,SPT24003559
2.83,7.5000,5,MYCQY00006578
11.32,17.3900,1,SPT24003561
54.20,59.7000,1,SPT24003562
5.10,10.8000,1,SPT24003563
18.00,24.0000,1,SPT24003564
2.15,7.5000,1,SPT24003565
7.22,13.0000,1,SPT24003566
15.00,20.7000,1,SPT24003567
23.04,41.0000,1,JHB24000188
138.80,131.3400,5,MYCQY00006579
1.00,8.5000,1,SBG24000608
47.00,52.5900,5,MYCQY00006581
0.09,15.0500,3,XEN00001249
0.09,15.0500,3,XEN00001250
127.20,122.6000,1,SPT24003574
38.70,45.3800,1,SPT24003575
5.00,9.7100,1,SPT24003576
60.50,71.1000,1,SPT24003577
40.08,47.1000,1,SPT24003578
2.00,6.4000,1,SPT24003579
2.16,7.7000,5,MYCQY00006582
3.08,8.9000,1,SPT24003583
42.03,549.6100,3,XEN00001251
6.62,11.9000,1,SPT24003586
11.10,17.3900,5,MYCQY00006583
28.60,36.1000,1,SPT24003589
0.64,6.5000,1,SPT24003590
0.55,6.5000,1,SPT24003591
1.00,5.0000,1,SPT24003592
34.30,41.7000,5,MYCQY00006584
1.00,6.5000,1,SPT24003593
0.10,6.5000,5,MYCQY00006585
0.20,6.5000,1,SPT24003595
0.10,6.5000,5,MYCQY00006586
0.20,6.5000,1,SPT24003597
0.20,6.5000,1,SPT24003598
0.20,6.5000,1,SPT24003599
0.10,6.5000,1,SPT24003600
0.20,6.5000,5,MYCQY00006587
67.86,71.4000,1,SPT24003602
7.60,13.0000,1,SPT24003603
0.60,6.4000,1,SPT24003604
0.35,6.5000,1,SPT24003605
3.00,7.5000,1,SPT24003606
30.60,38.1000,1,SPT24003607
19.00,10.1200,1,SPT24003608
55.00,65.1100,1,SPT24003610
231.69,95.7800,1,SPT24003611
2.00,5.0000,1,SPT24003613
1618.58,650.5000,1,SPT24003614
211.40,189.3800,1,SPT24003615
8.45,14.9000,1,SPT24003616
233.00,238.0000,1,SBG24000620
15.00,20.7300,1,SPT24003618
32.00,39.0700,1,SPT24003619
1.00,6.5000,1,SPT24003624
15.36,30.5000,1,JHB24000190
5.00,14.0000,1,JHB24000191
9.60,21.5000,1,JHB24000192
318.00,273.6500,1,SPT24003625
32.00,39.0700,1,SPT24003627
1.00,6.5000,1,SPT24003628
4.95,9.7000,1,SPT24003629
75.80,78.6000,1,SPT24003630
6.30,11.9000,1,SPT24003631
1.96,6.4000,5,MYCQY00006589
0.70,6.4000,1,SPT24003632
25.20,32.8000,5,MYCQY00006590
2.10,7.5000,5,MYCQY00006591
2.00,6.5000,1,SPT24003635
27.50,35.0000,1,SPT24003636
44.88,50.7000,5,MYCQY00006592
216.72,193.8000,1,SPT24003638
26.00,20.8000,1,SPT24003639
26.00,20.8000,1,SPT24003640
63.00,50.4000,1,SPT24003641
61.20,66.1000,1,SPT24003642
27.00,21.6000,1,SPT24003643
27.00,21.6000,1,SPT24003644
17.00,13.6000,1,SPT24003645
31.00,24.8000,8,300049811331
4.00,8.6000,1,SPT24003647
88.40,90.4300,1,SPT24003648
3.50,8.6100,1,SPT24003650
6.65,93.2800,3,XEN00001253
32.00,39.0700,1,SPT24003652
9.20,15.2000,1,SPT24003654
6.03,12.5000,1,JHB24000193
2.00,12.7000,1,SPT24003656
4.77,9.7000,1,SPT24003657
61.26,76.5000,1,SPT24003658
25.50,13.8300,1,SPT24003659
0.30,6.4000,1,SPT24003660
18.00,9.5900,1,SPT24003661
366.00,266.2100,1,SPT24003662
21.00,16.8000,1,SPT24003663
43.00,34.4000,8,300049844884
133.00,103.1000,8,300049842666
13.00,8.0000,1,SPT24003665
13.00,8.0000,1,SPT24003666
11.00,8.0000,1,SPT24003667
9.40,15.2200,1,SPT24003669
222.00,243.6900,1,SPT24003670
46.20,51.2000,1,SPT24003671
16.40,18.2000,1,SPT24003672
26.10,29.2000,1,SPT24003673
18.90,20.3900,1,SPT24003674
13.80,14.9000,1,SPT24003675
20.00,21.5000,1,SPT24003676
14.20,16.0000,1,SPT24003677
11.10,12.7000,1,SPT24003678
8.20,16.1000,1,JHB24000194
4.00,8.6100,1,SPT24003679
36.26,43.5800,1,SBG24000632
1.52,7.7000,1,SPT24003680
242.00,213.2300,1,SPT24003682
3.10,8.6000,1,SPT24003683
16.40,22.9000,1,SPT24003684
18.90,25.1400,1,SPT24003685
49.50,55.2900,1,SPT24003686
1.95,6.4000,5,MYCQY00006593
33.00,44.6000,1,SPT24003688
13.58,19.6000,1,SPT24003689
18.80,25.1000,1,SPT24003690
0.78,6.5000,5,MYCQY00006594
0.90,6.5000,1,SPT24003691
0.17,6.5000,1,SPT24003692
1.00,8.5000,1,SPT24003694
47.00,73.6000,1,JHB24000195
23.04,41.0000,1,JHB24000196
9.60,21.5000,1,JHB24000197
46.08,73.6000,1,JHB24000198
9.60,21.5000,1,JHB24000199
46.08,73.6000,1,JHB24000200
2.48,6.7400,1,SPT24003695
2.00,5.7500,1,SPT24003696
2.68,6.7400,1,SPT24003697
2.00,5.7500,1,SPT24003698
36.00,28.8000,1,SPT24003699
11.44,17.3900,1,SPT24003702
5.06,10.8000,1,SPT24003704
4.25,67.2000,3,XEN00001254
0.73,6.5000,1,SPT24003706
19.00,10.1200,1,SPT24003707
57.00,45.6000,8,300049891051
18.00,9.5900,1,SPT24003709
19.00,10.1200,1,SPT24003710
13.00,8.0000,1,SPT24003711
26.00,13.8300,1,SPT24003712
5.08,80.2400,3,XEN00001255
107.38,106.6000,5,MYCQY00006598
12.94,19.7100,5,MYCQY00006599
11.92,18.5000,1,SPT24003716
9.14,16.1000,5,MYCQY00006600
0.62,6.4000,1,SPT24003718
2.45,7.5000,1,SPT24003719
10.84,17.3000,5,MYCQY00006601
88.80,90.4300,1,SPT24003721
8.70,14.1200,1,SPT24003722
60.44,65.1100,1,SPT24003723
0.40,6.4000,1,SPT24003724
1.00,6.4000,1,SPT24003725
150.00,163.3000,1,SPT24003726
240.00,178.0100,8,300049933235
22.00,17.6000,1,SPT24003728
112.00,88.4000,1,SPT24003729
48.00,38.4000,1,SPT24003730
10.00,24.7000,1,SPT24003731
12.00,17.3900,1,SPT24003732
12.58,19.7100,5,MYCQY00006602
1.00,6.5000,5,MYCQY00006603
10.24,17.3000,5,MYCQY00006607
9.48,16.1000,5,MYCQY00006608
11.98,18.5000,1,SPT24003744
11.98,18.5000,5,MYCQY00006609
21.00,30.5000,5,MYCQY00006610
11.84,18.5000,1,SPT24003747
4.15,19.2000,1,SPT24003748
13.24,20.9000,5,MYCQY00006611
2.00,5.7500,1,SPT24003750
1.86,7.7000,1,SPT24003751
22.48,29.5000,1,SPT24003753
1.50,6.4000,1,SPT24003754
33.42,40.8000,1,SPT24003755
24.00,25.9000,1,SPT24003759
20.30,22.6000,1,SPT24003760
18.00,9.5900,1,SPT24003761
3.00,12.2000,1,SPT24003762
6.00,12.5000,5,MYCQY00006612
3.00,12.2000,1,SPT24003764
3.00,12.2000,1,SPT24003765
12.00,25.7100,1,SPT24003766
9.60,21.5000,1,JHB24000201
9.60,21.5000,1,JHB24000202
23.04,41.0000,1,JHB24000203
9.60,21.5000,1,JHB24000204
15.36,30.5000,1,JHB24000205
1.00,5.0000,5,MYCQY00006613
2.00,5.0000,1,SPT24003768
9.70,15.2200,1,SPT24003769
9.70,15.2200,1,SPT24003770
19.40,26.2500,1,SPT24003771
9.70,15.2200,1,SPT24003772
129.60,124.1900,1,SPT24003773
3.55,6.0000,1,AOR24000165
6.60,6.7000,1,AOR24000166
1.45,6.0000,1,AOR24000167
19.00,10.1200,1,SPT24003775
18.00,9.5900,1,SPT24003776
42.80,48.9800,1,SPT24003777
16.40,22.9400,1,SPT24003778
15.00,8.0000,1,SPT24003779
35.00,18.6000,1,SPT24003781
19.00,10.1200,1,SPT24003783
5.00,8.0000,1,SPT24003784
18.00,9.5900,1,SPT24003785
35.00,18.6000,1,SPT24003786
35.00,18.6000,1,SPT24003787
18.00,9.5900,1,SPT24003788
0.45,6.4000,1,SPT24003789
10.19,16.3000,5,MYCQY00006614
1.68,6.4000,5,MYCQY00006615
1.25,6.4000,1,SPT24003792
6.24,11.9000,5,MYCQY00006616
2.99,7.5000,1,SPT24003794
8.85,14.1000,1,SPT24003795
7.00,11.9000,1,SPT24003796
51.10,57.0000,5,MYCQY00006617
41.40,52.1000,1,SPT24003799
12.80,10.9000,1,AOR24000168
13.00,10.4000,1,SPT24003800
8.95,8.1000,1,AOR24000169
1.55,6.0000,1,AOR24000170
13.82,184.5500,3,XEN00001256
6.96,12.5000,5,MYCQY00006618
7.88,13.7000,1,SPT24003805
62.00,49.6000,8,300050007987
4.38,10.1000,1,SPT24003810
128.27,54.5900,1,SPT24003811
372.50,317.3700,1,SPT24003812
6.80,12.5000,1,SPT24003813
2.00,8.0000,1,SPT24003814
2.60,7.5000,1,SPT24003815
3.00,8.0000,1,SPT24003816
329.80,283.1900,1,SPT24003817
100.00,100.3400,1,SPT24003818
8.60,14.1200,1,SPT24003819
47.00,48.6000,1,SPT24003820
36.00,28.8000,1,SPT24003821
213.00,159.1100,1,SPT24003822
35.00,27.9900,9,60717699663000
26.00,20.8000,1,SPT24003824
25.00,20.0000,1,SPT24003825
75.00,60.0000,1,SPT24003826
5.00,10.1000,5,MYCQY00006619
4.38,10.1000,1,SPT24003828
5.00,10.1000,1,SPT24003829
8.80,14.9000,1,SPT24003830
2.90,7.7000,1,SPT24003831
11.02,17.3000,1,SPT24003832
7.26,13.7000,1,SPT24003833
11.00,17.3000,1,SPT24003834
4.99,10.1000,1,SPT24003835
3.70,8.9000,1,SPT24003837
4.38,10.1000,1,SPT24003838
4.33,67.2000,3,XEN00001258
5.00,10.1000,1,SPT24003840
134.20,128.2000,1,SPT24003841
4.05,9.7000,5,MYCQY00006621
4.38,10.1000,1,SPT24003843
9.48,16.1000,1,SPT24003844
2.02,6.5000,5,MYCQY00006622
8.06,14.9000,5,MYCQY00006623
11.98,18.5000,1,SPT24003847
12.94,19.7100,1,SPT24003848
13.26,20.9000,5,MYCQY00006624
7.46,13.7000,5,MYCQY00006625
15.80,21.8000,1,SPT24003851
51.20,57.0000,1,SPT24003852
3.90,13.7000,1,SPT24003853
93.00,74.4000,1,SPT24003854
6.16,14.5000,1,SPT24003855
2.00,8.5000,1,SPT24003856
1.98,6.5000,5,MYCQY00006626
2.22,7.7000,1,SPT24003859
2.73,7.7000,1,SPT24003860
3.67,54.1700,3,XEN00001259
3.61,8.9000,1,SPT24003862
3.59,8.9000,1,SPT24003863
2.22,41.1300,3,XEN00001260
2.31,7.7000,1,SPT24003865
19.10,26.2500,1,SPT24003867
3.50,8.6100,1,SPT24003868
0.97,6.5000,1,SPT24003869
2.88,7.7000,1,SPT24003870
0.97,6.5000,5,MYCQY00006627
4.38,10.1000,1,SPT24003872
97.00,115.0000,1,SBG24000663
18.00,34.7000,1,SPT24003874
4.00,5.0000,5,MYCQY00006628
2.70,5.0000,5,MYCQY00006629
2.60,5.0000,1,SPT24003877
1.30,5.0000,1,SPT24003878
1.70,5.0000,1,SPT24003879
10.00,10.5000,1,SPT24003880
3.80,5.0000,1,SPT24003881
2.30,5.0000,1,SPT24003882
21.00,22.6000,1,SPT24003883
60.00,74.3000,1,SPT24003884
2.95,7.7000,1,SPT24003887
0.01,6.5000,1,SPT24003889
7.00,18.2100,1,JHB24000206
785.46,550.2100,1,SPT24003890
7.00,8.0000,1,SPT24003891
8.06,14.9000,1,SPT24003894
2.00,6.4000,1,SPT24003895
0.30,6.4000,1,SPT24003897
9.60,21.5000,1,JHB24000207
4.00,10.1000,5,MYCQY00006630
1.00,8.5000,1,SPT24003901
1.00,8.5000,1,SPT24003902
5.00,11.3000,1,SPT24003903
15.99,21.8000,1,SPT24003904
10.80,16.3000,1,SPT24003905
12.42,18.5000,1,SPT24003906
56.84,61.5000,1,SPT24003907
1.00,6.5000,1,SPT24003910
15.36,30.5000,1,JHB24000208
9.60,21.5000,1,JHB24000209
30.72,52.8000,1,JHB24000210
4.15,6.0000,1,AOR24000172
3.76,6.0000,1,AOR24000173
27.00,21.6000,8,300050208362
15.36,30.5000,1,JHB24000211
2.00,5.7500,1,SPT24003915
560.00,466.0400,5,MYCQY00006633
9.60,21.5000,1,JHB24000212
66.40,70.6100,1,SPT24003920
432.00,364.2800,1,SPT24003921
0.40,8.5000,1,SPT24003922
7.00,11.9100,1,SPT24003925
32.40,39.9700,1,SPT24003926
57.40,62.5000,1,SPT24003927
1.20,6.4000,1,SPT24003928
1.50,6.4000,1,SPT24003929
19.00,10.1200,1,SPT24003930
15.00,8.0000,1,SPT24003931
159.60,172.3000,1,SBG24000674
17.00,9.0600,1,SPT24003932
15.00,8.0000,1,SPT24003933
0.96,6.5000,1,SPT24003934
15.00,8.0000,1,SPT24003935
6.95,12.5000,1,SPT24003936
24.00,19.2000,1,SPT24003937
37.00,29.6000,9,66660819896000
136.00,105.1900,1,SPT24003938
15.00,12.0000,1,SPT24003939
136.00,105.1900,1,SPT24003940
34.00,27.2000,1,SPT24003941
1241.50,710.0200,1,SPT24003942
1.00,6.5000,5,MYCQY00006635
6.80,14.5000,5,MYCQY00006636
183.80,128.8000,1,SPT24003944
374.00,271.8100,1,SPT24003945
11.86,18.5000,1,SPT24003946
12.94,19.7100,1,SPT24003947
66.40,70.6100,1,SPT24003948
44.40,50.7800,1,SPT24003949
33.20,40.8700,1,SPT24003950
35.58,46.1000,8,300050232355
82.50,84.9100,1,SPT24003952
3.80,8.6000,1,SPT24003953
1.90,6.4000,1,SPT24003954
99.00,69.3000,1,SPT24003955
153.00,107.1000,1,SPT24003956
1.22,6.5000,1,SPT24003957
17.71,25.7000,1,SPT24003961
16.60,22.9400,1,SPT24003962
18.40,25.1400,1,SPT24003963
1.00,6.5000,1,SPT24003965
3.50,8.6100,1,SPT24003967
60.75,71.1000,8,300050235675
27.00,21.6000,8,300050144635
16.32,22.9000,1,SPT24003972
0.80,6.5000,1,SPT24003974
12.60,19.7100,1,SPT24003976
206.00,184.6100,1,SPT24003977
38.53,49.1000,1,SPT24003978
37.20,44.4800,1,SPT24003980
1.30,6.4000,5,MYCQY00006637
1.00,6.4000,5,MYCQY00006638
3.60,8.6000,1,SPT24003984
57.45,758.2200,3,XEN00001261
0.63,6.4000,1,SPT24003986
20.00,262.7700,3,XEN00001262
4.18,9.7000,5,MYCQY00006639
0.64,6.4000,1,SPT24003989
10.00,132.3900,3,XEN00001263
32.40,39.9000,1,SPT24003991
12.14,171.5100,3,XEN00001264
11.76,17.3900,5,MYCQY00006640
10.95,16.3000,1,SPT24003994
27.00,39.7000,8,300050125602
0.20,6.5000,1,SPT24003997
1.00,8.5000,1,SPT24004000
15.45,13.0000,1,AOR24000174
4.80,6.0000,1,AOR24000175
1.50,6.4000,1,SPT24004002
11.95,10.2000,1,AOR24000176
0.57,6.4000,1,SPT24004003
8.70,14.1000,1,SPT24004004
2.22,7.5000,1,SPT24004005
2.44,41.1300,3,XEN00001265
0.50,6.4000,1,SPT24004007
0.70,6.4000,5,MYCQY00006641
0.92,6.4000,1,SPT24004009
2.80,7.5000,5,MYCQY00006642
44.44,50.7000,1,SPT24004011
17.20,24.0000,5,MYCQY00006643
9.60,21.5000,1,JHB24000213
8.10,14.1000,5,MYCQY00006644
60.48,65.1100,1,SPT24004014
2.00,5.7500,1,SPT24004015
7.28,16.9000,1,SPT24004016
132.00,102.4000,1,SPT24004017
99.00,79.2000,1,SPT24004019
6.24,12.5000,5,MYCQY00006646
59.90,74.3000,1,SPT24004023
12.00,18.5000,1,SPT24004024
15.52,13.0000,1,AOR24000177
25.15,20.0000,1,AOR24000178
261.00,228.3300,1,SPT24004025
62.72,45.9000,1,AOR24000179
27.54,21.4000,1,AOR24000180
1.00,6.5000,5,MYCQY00006647
8.10,14.9000,1,SPT24004139
8.10,14.9000,1,SPT24004140
8.10,14.9000,1,SPT24004141
8.10,14.9000,1,SPT24004142
8.10,14.9000,1,SPT24004143
8.10,14.9000,1,SPT24004144
8.10,14.9000,1,SPT24004145
8.10,14.9000,1,SPT24004146
8.10,14.9000,1,SPT24004147
8.10,14.9000,5,MYCQY00006674
8.10,14.9000,1,SPT24004149
8.10,14.9000,1,SPT24004150
8.10,14.9000,5,MYCQY00006675
8.10,14.9000,1,SPT24004152
8.10,14.9000,1,SPT24004153
8.10,14.9000,1,SPT24004154
8.10,14.9000,1,SPT24004155
8.10,14.9000,5,MYCQY00006676
8.10,14.9000,1,SPT24004157
8.10,14.9000,1,SPT24004158
8.10,14.9000,5,MYCQY00006677
8.10,14.9000,1,SPT24004160
8.10,14.9000,1,SPT24004161
8.10,14.9000,5,MYCQY00006678
148.50,104.3000,1,SPT24004163
17.20,24.0400,1,SPT24004164
8.00,13.7000,1,SPT24004165
120.00,154.6000,1,SPT24004166
20.00,26.2000,1,SPT24004167
1.00,6.4000,1,SPT24004168
41.60,48.0800,1,SPT24004169
3.50,8.6100,1,SPT24004170
6.90,11.9100,1,SPT24004171
0.09,6.5000,1,SPT24004172
1.68,6.5000,1,SPT24004175
2.43,9.7000,1,SPT24004177
210.00,147.0000,1,SPT24004178
8.84,16.9000,1,SPT24004179
164.90,115.5100,1,SPT24004180
12.75,18.5000,5,MYCQY00006679
137.60,96.6000,1,SPT24004182
30.25,41.1000,1,SPT24004183
2.00,7.7000,1,JHB24000214
435.60,305.2100,1,SPT24004184
27.00,21.6000,1,SPT24004185
33.00,26.4000,1,SPT24004186
62.00,49.6000,1,SPT24004187
2.00,9.7000,5,MYCQY00006680
634.23,256.9700,1,SPT24004189
377.41,154.1800,1,SPT24004190
12.50,19.7100,1,SPT24004191
306.00,214.2000,1,SPT24004192
1.90,6.4000,1,SPT24004193
37.00,43.5000,1,SPT24004194
39.20,46.2800,1,SPT24004195
55.16,66.1000,1,SPT24004196
216.00,151.2100,1,SPT24004197
105.00,73.5000,1,SPT24004198
52.10,57.8000,1,SPT24004199
16.80,22.9400,1,SPT24004200
3.00,9.0000,5,MYCQY00006681
752.55,527.1200,1,SPT24004202
80.70,56.7000,1,SPT24004091
1.64,6.5000,1,SPT24004092
5.00,8.0000,1,SPT24004095
18.00,9.5900,1,SPT24004097
21.95,30.5000,1,SPT24004112
16.00,21.8400,1,SPT24004113
102.60,72.1000,1,SPT24004116
78.00,54.6000,1,SPT24004117
24.00,16.8000,1,SPT24004121
11.00,16.3200,1,SPT24004122
41.10,48.0800,1,SPT24004123
0.20,6.5000,1,SPT24004126
68.00,71.5100,1,SPT24004128
1.00,6.4000,1,SBG24000701
43.14,60.1000,1,JHB24000215
16.10,24.5000,1,SPT24004133
1.00,6.5000,1,SPT24004134
166.20,231.1000,1,SPT24004135
9.60,21.5000,1,JHB24000216
80.00,72.0100,1,SPT24004151
18.40,17.1000,5,MYCQY00006684
86.20,78.3000,8,300050372564
165.30,152.8100,1,SPT24004156
43.20,49.8800,1,SPT24004159
44.00,49.8800,1,SPT24004162
13.90,19.6300,1,SPT24004181
95.80,86.4000,8,300050395876
13.95,11.6000,1,AOR24000182
11.80,10.8000,5,MYCQY00006685
2.44,6.7400,5,MYCQY00006686
2.00,5.7500,1,SPT24004188
18.25,17.1000,5,MYCQY00006687
49.30,45.0000,1,SPT24004201
91.00,81.9100,8,300050376764
7.15,7.4000,1,AOR24000183
48.00,64.9000,2,8005001822
0.15,6.5000,1,SPT24004203
64.50,47.3000,1,AOR24000184
22.25,17.9000,1,AOR24000185
1.25,6.0000,1,AOR24000186
1.80,6.0000,1,AOR24000187
109.00,98.1000,1,SPT24004204
8.28,14.9000,5,MYCQY00006688
25.00,22.5000,1,SPT24004205
19.10,26.2500,1,SBG24000712
98.40,99.4400,1,SPT24004207
14.40,20.7300,1,SPT24004208
96.00,96.7400,1,SPT24004209
46.80,52.5900,1,SPT24004210
12.08,19.7100,1,SPT24004211
5.00,8.0000,1,SPT24004213
123.00,96.1000,1,SPT24004214
13.00,8.0000,1,SPT24004215
3.20,8.6000,1,SPT24004216
10.00,15.2000,1,SPT24004217
3.10,8.6000,1,SPT24004218
0.97,6.4000,1,SPT24004219
1.10,6.4000,1,SPT24004220
8.35,14.1000,1,SPT24004221
5.00,9.7000,1,SPT24004222
41.25,48.0000,1,SPT24004223
30.16,38.1000,1,SPT24004224
35.10,42.6000,1,SPT24004225
1.70,6.4000,1,SPT24004226
3.00,41.1300,3,XEN00001266
81.80,84.0100,1,SPT24004227
2.10,7.5000,5,MYCQY00006689
24.00,314.9300,3,XEN00001267
2.75,7.5000,5,MYCQY00006690
41.00,536.5700,3,XEN00001268
7.76,13.0000,1,SPT24004228
2.20,8.9000,1,SPT24004229
0.60,6.5000,1,SPT24004230
0.60,6.5000,1,SPT24004231
0.60,6.5000,1,SPT24004232
0.60,6.5000,1,SPT24004233
0.60,6.5000,1,SPT24004234
0.60,6.5000,1,SPT24004235
2.26,8.9000,1,SPT24004236
2.26,8.9000,1,SPT24004237
2.26,8.9000,1,SPT24004238
2.26,8.9000,1,SPT24004239
2.26,8.9000,1,SPT24004240
2.26,8.9000,1,SPT24004241
2.26,8.9000,1,SPT24004242
2.26,8.9000,1,SPT24004243
2.26,8.9000,1,SPT24004244
2.26,8.9000,1,SPT24004245
2.26,8.9000,1,SPT24004246
15.00,8.0000,1,SPT24004247
15.00,8.0000,1,SPT24004248
19.00,10.1200,1,SPT24004250
55.04,59.7000,1,SPT24004251
1.00,15.0500,3,XEN00001269
1.00,6.5000,1,SPT24004252
1.00,8.5000,1,SPT24004253
47.00,52.5900,1,SPT24004254
33.20,40.8700,1,SPT24004255
10.70,16.3000,1,SPT24004256
25.62,32.8000,5,MYCQY00006691
13.80,19.6000,5,MYCQY00006692
2.90,7.5000,1,SPT24004257
195.00,2544.4200,3,XEN00001270
17.74,24.0000,1,SPT24004258
1.00,6.5000,1,SPT24004259
21.00,16.8000,1,SPT24004260
85.00,68.0000,1,SPT24004261
19.00,10.1200,1,SPT24004262
37.20,20.1900,1,SPT24004263
1.00,6.5000,5,MYCQY00006693
98.00,78.4000,1,SPT24004264
2.09,7.7000,1,SPT24004266
76.00,83.0900,1,SPT24004267
6.00,6.1000,1,SPT24004268
3.40,5.0000,1,SPT24004269
13.10,14.9000,1,SPT24004270
6.90,7.2000,1,SPT24004271
18.40,20.3900,1,SPT24004272
12.80,13.8000,1,SPT24004273
4.00,8.6100,1,SPT24004274
1.00,6.5000,5,MYCQY00006694
0.11,6.4000,5,MYCQY00006695
38.00,41.3000,1,SPT24004275
14.80,16.0000,1,SPT24004277
1.00,6.5000,5,MYCQY00006696
2.90,5.0000,1,SPT24004278
7.10,8.3000,1,SPT24004279
14.10,22.1000,1,SPT24004280
80.00,56.0000,1,SPT24004281
165.30,116.2100,1,SPT24004282
241.92,169.4100,1,SPT24004283
8.00,13.0200,1,SPT24004285
1.00,6.5000,1,JHB24000219
0.42,6.4000,1,SPT24004286
2.00,7.7000,1,SBG24000719
2.38,12.2000,1,SPT24004288
2.46,7.7000,1,SPT24004289
0.64,6.4000,5,MYCQY00006697
1.00,6.4000,1,SPT24004290
0.64,6.4000,5,MYCQY00006698
4.25,10.1000,1,SPT24004291
0.64,6.4000,1,SPT24004292
0.64,6.4000,1,SPT24004293
0.64,6.4000,5,MYCQY00006699
0.64,6.4000,5,MYCQY00006700
0.64,6.4000,1,SPT24004294
0.64,6.4000,5,MYCQY00006701
5.16,16.7000,1,SPT24004295
4.74,15.2000,1,SPT24004296
0.64,6.4000,1,SPT24004297
0.64,6.4000,1,SPT24004298
0.64,6.4000,1,SPT24004299
0.64,6.4000,1,SPT24004300
0.64,6.4000,1,SPT24004301
0.64,6.4000,1,SPT24004302
0.64,6.4000,1,SPT24004303
0.64,6.4000,1,SPT24004304
11.00,10.5000,1,SPT24004305
11.00,15.5000,1,SBG24000725
10.00,10.5000,1,SPT24004306
9.60,21.5000,1,JHB24000220
47.00,73.6000,1,JHB24000221
23.04,41.0000,1,JHB24000222
9.60,21.5000,1,JHB24000223
9.60,21.5000,1,JHB24000224
23.55,18.6000,1,AOR24000190
1.70,6.0000,1,AOR24000191
5.70,6.0000,1,AOR24000192
3.26,7.7300,1,SPT24004308
2.46,6.0000,1,AOR24000193
3.05,6.0000,1,AOR24000194
0.04,6.4000,5,MYCQY00006702
2.10,6.0000,1,AOR24000195
117.46,50.1900,1,SPT24004313
79.41,34.9900,1,SPT24004314
1.08,7.7000,1,SPT24004317
3.30,6.0000,1,AOR24000196
15.00,8.0000,1,SPT24004318
3.00,7.5000,1,SPT24004319
4.00,8.0000,1,SPT24004320
0.13,6.5000,1,SPT24004321
4.05,6.0000,1,AOR24000197
32.80,39.9700,1,SPT24004323
1.22,28.0900,3,XEN00001271
3.35,8.6000,5,MYCQY00006705
45.60,51.6000,1,SPT24004324
0.97,6.4000,1,SPT24004325
3.35,8.6000,2,8005001824
33.72,40.8000,1,SPT24004326
3.54,8.6000,1,SPT24004327
12.36,18.5000,1,SPT24004328
12.60,18.5000,1,SPT24004329
2.20,7.5000,1,SPT24004330
15.32,21.8000,1,SPT24004331
82.70,84.9100,1,SPT24004332
1.00,6.5000,1,SPT24004333
48.00,38.4000,1,SPT24004334
35.52,42.6000,1,SPT24004335
36.00,42.6800,1,SPT24004336
28.71,36.1000,1,SPT24004337
18.50,30.1000,1,SPT24004338
71.78,75.0100,5,MYCQY00006706
0.37,6.4000,1,SPT24004339
3.28,8.6000,1,SPT24004340
249.00,184.3000,1,SPT24004341
104.96,73.5000,1,SPT24004342
3.00,12.2000,1,SPT24004343
259.92,182.0000,1,SPT24004344
137.40,151.2900,1,SPT24004345
349.39,142.9800,1,SPT24004346
349.39,142.9800,1,SPT24004347
200.20,180.6300,1,SPT24004348
24.00,16.8000,1,SPT24004352
88.00,105.1000,8,300050527297
116.02,169.9000,1,SPT24004355
1.46,6.4000,1,SPT24004356
5.70,6.1000,1,SPT24004359
