weigh,total,courier,consignnote
5.00,9.7100,1,SPT24000121
2.00,6.4000,1,SPT24000122
34.80,18.6000,1,SPT24000123
9.80,8.0000,1,SPT24000124
18.60,10.1200,1,SPT24000125
17.80,9.5900,1,SPT24000127
9.80,8.0000,1,SPT24000129
147.00,102.9000,1,SPT24000130
3.30,8.6100,1,SPT24000131
17.80,9.5900,1,SPT24000132
3.60,8.6100,1,SPT24000133
12.50,18.5300,1,SPT24000134
13.20,20.9000,1,SPT24000135
1.66,6.4000,1,SPT24000141
4.10,9.7000,1,SPT24000142
2.02,6.4000,1,SPT24000143
1.00,6.5000,1,SPT24000144
1.00,6.5000,1,SPT24000145
3.00,7.7000,1,SPT24000146
0.65,6.5000,1,SBG24000025
0.50,6.5000,5,MYCQY00006209
3.00,8.9000,5,MYCQY00006210
11.90,10.2000,1,AOR24000019
63.00,45.9000,1,AOR24000020
0.25,6.0000,1,AOR24000021
0.80,6.0000,1,AOR24000022
327.00,354.3100,1,SBG24000028
0.70,6.0000,1,AOR24000023
116.10,113.8500,1,SPT24000150
2.12,6.7400,1,SPT24000151
2.00,5.7500,1,SPT24000152
5.00,14.0000,1,JHB24000015
9.60,21.5000,1,JHB24000016
4.00,8.6100,1,SPT24000153
8.15,8.1000,1,AOR24000024
10.68,9.5000,1,AOR24000025
31.40,39.0700,1,SPT24000155
9.90,15.2200,1,SPT24000156
8.60,14.1200,1,SPT24000157
10.60,8.0000,1,SPT24000158
126.00,98.2000,1,SPT24000159
326.00,238.2000,1,SPT24000160
8.60,14.1200,1,SPT24000161
10.60,8.0000,1,SPT24000162
66.00,52.8000,1,SPT24000163
17.80,9.5900,1,SPT24000164
12.33,8.0000,1,SPT24000165
5.00,14.0000,1,JHB24000020
4.00,8.6100,1,SPT24000166
1.45,6.5000,1,SPT24000167
4.00,8.6100,1,SPT24000168
8.00,13.0200,1,SPT24000169
18.40,10.1200,1,SPT24000170
18.40,10.1200,1,SPT24000171
5.00,9.7100,1,SPT24000172
3.00,7.5000,1,SPT24000173
0.15,15.0500,3,XEN00001159
0.15,15.0500,3,XEN00001160
0.15,15.0500,3,XEN00001161
0.15,15.0500,2,8005001792
0.15,15.0500,3,XEN00001162
8.60,14.1200,1,SPT24000175
4.00,8.6100,1,SPT24000176
4.00,10.1000,1,JHB24000021
4.35,11.3000,1,JHB24000022
1.23,7.7000,1,JHB24000023
11.60,12.7000,1,SPT24000177
1.00,8.0000,1,SPT24000178
8.60,14.1200,1,SPT24000179
63.00,50.4000,8,300045899246
47.60,53.4900,1,SPT24000180
21.20,28.4500,1,SPT24000181
9.80,15.2200,1,SPT24000182
120.40,117.0300,1,SPT24000183
0.84,7.3000,1,SPT24000184
0.09,6.4000,5,MYCQY00006212
17.50,24.0400,1,SPT24000185
21.00,275.8100,3,XEN00001163
41.14,52.1000,1,SPT24000186
5.00,9.7100,1,SPT24000187
8.00,13.0200,1,SPT24000188
16.00,21.8400,1,SPT24000189
1.00,8.5000,1,SPT24000190
14.40,30.2000,1,JHB24000024
9.00,21.2000,1,SPT24000191
24.60,31.6900,1,SPT24000192
1.14,6.5000,5,MYCQY00006213
309.00,266.4900,1,SPT24000193
6.80,11.9100,1,SPT24000194
6.55,19.0100,1,SPT24000195
9.20,10.5000,1,SPT24000198
2.17,7.7000,1,SPT24000199
61.70,66.1000,1,SPT24000200
89.90,91.2000,1,SPT24000201
6.00,10.8100,1,SPT24000202
38.00,44.4800,1,SPT24000203
1.00,6.4000,1,SPT24000204
20.30,22.6000,1,SPT24000205
2.50,7.5000,1,SPT24000206
17.80,9.5900,1,SPT24000207
8.60,14.1200,1,SPT24000208
25.50,13.8300,1,SPT24000209
18.60,10.1200,1,SPT24000210
8.60,14.1200,1,SPT24000211
2.00,6.4000,5,MYCQY00006214
17.20,24.0400,1,SPT24000212
312.00,218.4000,1,SPT24000213
7.88,14.9000,1,SPT24000214
1.00,6.4000,1,SPT24000215
12.53,21.7000,1,SPT24000216
8.92,16.1000,1,SPT24000217
8.98,16.1000,1,SPT24000218
1.80,5.0000,1,SPT24000219
238.34,243.4100,1,SPT24000220
0.30,15.0500,3,XEN00001164
2.50,7.5000,1,SPT24000221
16.00,12.8000,1,SPT24000222
21.00,25.2000,5,MYCQY00006215
2.53,8.9000,1,JHB24000025
1.00,6.5000,1,JHB24000026
1.88,7.7000,1,JHB24000027
1.00,6.5000,1,JHB24000028
1.00,6.5000,1,JHB24000029
1.36,7.7000,1,JHB24000030
7.81,13.7000,1,SPT24000223
16.60,25.7000,1,SPT24000224
7.00,15.5000,1,SBG24000054
7.00,10.5000,1,SPT24000225
7.00,15.5000,1,SBG24000053
7.00,10.5000,1,SPT24000226
0.30,7.3000,1,SPT24000227
7.00,15.5000,1,SBG24000052
136.18,139.7000,1,SPT24000228
15.41,12.2000,1,SPT24000229
1.00,6.5000,1,SPT24000232
52.95,38.9000,1,AOR24000027
8.85,8.1000,1,AOR24000028
9.20,8.8000,1,AOR24000029
11.75,10.2000,1,AOR24000030
1.22,5.7500,1,SPT24000234
52.20,66.6000,1,SBG24000050
6.00,10.8000,1,SPT24000235
19.20,36.5000,1,JHB24000031
5.00,14.0000,1,JHB24000032
2.85,6.0000,1,AOR24000033
25.70,13.8300,1,SPT24000238
119.70,85.8100,1,AOR24000034
25.50,13.8300,1,SPT24000239
5.25,6.0000,1,AOR24000035
17.80,9.5900,1,SPT24000240
1.00,8.0000,1,SPT24000241
18.60,10.1200,1,SPT24000242
144.00,135.3200,5,MYCQY00006216
33.40,40.8700,1,SPT24000243
20.00,26.2500,1,SPT24000244
18.60,25.1400,1,SPT24000245
8.50,14.1200,1,SPT24000246
10.60,8.0000,1,SPT24000248
36.00,47.9000,1,SPT24000249
1.00,7.3000,1,SPT24000250
22.70,32.9000,1,SPT24000252
24.00,30.6600,1,SPT24000253
98.95,71.1000,1,AOR24000037
146.20,137.7000,1,SPT24000254
0.11,15.0500,3,XEN00001165
0.11,15.0500,3,XEN00001166
0.04,6.5000,5,MYCQY00006217
0.07,6.5000,1,SPT24000258
18.60,10.1200,1,SPT24000259
7.30,7.4000,1,AOR24000038
1.00,6.5000,2,8005001793
7.15,7.4000,1,AOR24000039
1.00,6.5000,7,NVN00002498
13.00,18.5300,1,SPT24000263
1.60,6.5000,5,MYCQY00006218
6.82,11.9000,1,SPT24000265
25.80,32.8600,1,SPT24000266
22.00,28.4500,1,SPT24000267
42.50,48.9800,1,SPT24000268
19.40,26.2500,1,SPT24000269
8.60,119.3600,3,XEN00001167
8.60,14.1200,1,SPT24000271
412.80,289.1000,1,SPT24000270
31.86,42.1000,1,SPT24000272
3.00,7.5000,1,SPT24000273
0.02,6.5000,1,SPT24000274
3.85,8.0000,1,SPT24000275
4.30,9.7100,1,SPT24000276
16.44,22.9000,1,SPT24000277
33.12,40.8000,1,SPT24000278
15.40,21.8000,5,MYCQY00006219
42.76,48.9000,1,SPT24000280
0.62,6.4000,5,MYCQY00006220
14.78,20.7000,1,SPT24000282
0.83,6.4000,5,MYCQY00006221
24.16,31.6900,1,SPT24000284
499.85,202.9700,1,SPT24000285
3.50,10.9000,1,SPT24000286
2.00,6.4000,1,SPT24000287
3.00,9.7000,1,SPT24000288
3.37,8.6000,1,SPT24000289
3.60,10.9000,7,NVN00002499
216.00,192.5600,1,SPT24000292
40.80,47.1800,5,MYCQY00006222
29.80,37.2700,1,SPT24000294
96.00,96.7400,1,SPT24000295
120.00,84.0100,1,SPT24000296
3.50,10.9000,1,SPT24000297
4.10,67.2000,3,XEN00001168
4.00,10.9000,1,SPT24000299
3.70,10.9000,1,SPT24000300
1173.62,472.5300,1,SPT24000301
84.00,58.8000,1,SPT24000303
42.00,29.4000,1,SPT24000304
32.00,43.5000,1,JHB24000033
7.90,13.0000,1,SPT24000305
16.30,22.9000,1,SPT24000306
0.16,6.5000,1,SPT24000307
2.54,7.7000,5,MYCQY00006223
2.00,5.7500,1,SPT24000309
4.30,12.1000,1,SPT24000310
4.00,8.6100,1,SPT24000311
4.00,8.6100,1,SPT24000312
11.30,17.4300,1,SPT24000313
602.00,499.4300,1,SPT24000314
4.56,15.2000,1,SPT24000315
2.77,12.2000,1,SPT24000316
0.13,6.4000,1,SBG24000063
0.11,6.4000,1,SBG24000064
3.38,8.9000,1,SPT24000318
33.60,40.8700,1,SPT24000319
1.00,6.5000,1,SPT24000320
2.90,5.0000,5,MYCQY00006224
170.40,187.6000,1,SPT24000322
14.80,16.0000,1,SPT24000323
12.50,13.8000,1,SPT24000324
4.50,5.0000,1,SPT24000325
20.70,22.6000,1,SPT24000326
10.00,10.5000,1,SPT24000327
11.80,12.7000,1,SPT24000328
7.40,8.3000,1,SPT24000329
2.40,5.0000,1,SPT24000330
2.10,5.0000,1,SPT24000331
5.60,6.1000,1,SPT24000332
24.00,30.6600,1,SPT24000333
8.26,16.9000,1,SPT24000334
17.20,24.0400,1,SPT24000335
4.00,8.6100,1,SPT24000336
6.50,11.9100,1,SPT24000337
25.50,13.8300,1,SPT24000338
25.70,13.8300,1,SPT24000339
18.60,10.1200,1,SPT24000340
2.50,7.5000,1,SPT24000341
160.60,112.7000,1,SPT24000342
17.80,9.5900,1,SPT24000343
16.00,21.8400,1,SPT24000344
5.00,9.7100,1,SPT24000345
4.00,8.6100,1,SPT24000346
4.00,8.6100,1,SPT24000347
4.00,8.6100,1,SPT24000348
1.03,6.5000,1,SPT24000349
0.10,8.5000,1,SPT24000350
2.00,6.4000,1,SPT24000351
8.00,13.0200,1,SPT24000352
40.00,46.2800,1,SPT24000353
6.00,10.8100,1,SPT24000356
2.00,6.5000,1,SPT24000358
172.80,121.1100,1,SPT24000359
1.43,6.4000,1,SPT24000360
12.19,18.5000,1,SPT24000361
2.00,6.4000,1,SPT24000362
0.20,6.5000,1,SPT24000363
0.20,6.5000,1,SPT24000364
0.10,6.5000,1,SPT24000365
0.10,6.5000,1,SPT24000366
0.10,6.5000,1,SPT24000367
0.10,6.5000,1,SPT24000368
0.20,6.5000,1,SPT24000369
0.10,6.5000,1,SPT24000370
0.20,6.5000,1,SPT24000371
0.10,6.5000,1,SPT24000372
0.10,6.5000,5,MYCQY00006225
3.24,8.9000,1,SPT24000375
1.00,7.3000,1,SPT24000376
1.00,6.4000,1,SPT24000378
31.00,24.8000,8,300046112267
57.00,45.6000,1,SPT24000380
86.00,102.8900,1,SBG24000069
1.00,6.4000,1,SPT24000383
29.58,37.2000,1,SPT24000384
19.80,26.2500,1,SPT24000385
19.80,26.2500,1,SPT24000386
19.80,26.2500,1,SPT24000387
19.80,26.2500,1,SPT24000388
92.00,73.6000,9,66660644285000
0.70,6.0000,1,AOR24000040
1.00,6.5000,1,SPT24000390
13.00,171.5100,3,XEN00001169
11.35,10.2000,1,AOR24000041
1.50,6.4000,1,SPT24000392
2.00,6.4000,1,SPT24000393
60.20,65.2000,1,SPT24000395
10.20,16.3200,1,SPT24000396
35.20,42.6800,1,SPT24000397
6.80,11.9100,1,SPT24000398
86.00,87.7300,1,SPT24000399
17.10,19.3000,1,SPT24000400
25.50,13.8300,1,SPT24000401
106.00,84.2000,8,300046144117
31.00,24.8000,1,SPT24000403
80.00,64.0000,1,SPT24000404
18.60,10.1200,1,SPT24000406
17.80,9.5900,1,SPT24000407
0.01,6.5000,1,JHB24000034
4.64,9.7000,1,SPT24000408
25.50,13.8300,1,SPT24000409
5.00,8.0000,1,SPT24000410
10.60,8.0000,1,SPT24000411
4.80,9.7100,1,SPT24000412
77.20,80.5200,1,SPT24000413
19.20,36.5000,1,JHB24000035
0.04,6.4000,1,SPT24000414
18.60,10.1200,1,SPT24000415
5.80,11.3000,1,SPT24000416
17.66,24.0000,1,SPT24000418
1.50,6.4000,1,SPT24000419
4.00,8.6100,1,SPT24000420
4.00,8.6100,1,SPT24000421
129.00,123.3900,1,SPT24000422
0.04,6.4000,1,SBG24000072
8.60,119.3600,3,XEN00001170
7.80,13.0200,1,SPT24000425
0.02,6.5000,1,SPT24000426
210.00,147.0000,1,SPT24000427
16.00,21.8400,1,SPT24000428
17.00,22.9000,1,SPT24000429
10.00,15.2000,1,SPT24000430
4.40,9.7000,1,SPT24000431
0.50,6.4000,1,SPT24000432
5.00,9.7100,1,SPT24000433
2.26,7.5000,1,SPT24000434
116.00,91.2000,1,SPT24000435
6.50,11.9100,1,SPT24000436
57.91,68.1000,1,SPT24000437
231.00,171.7000,1,SPT24000438
48.00,38.4000,1,SPT24000439
7.68,16.9000,1,SPT24000440
1.90,5.0000,1,SPT24000441
50.00,66.1000,1,SBG24000082
7.80,15.7000,1,SPT24000442
4.92,11.3000,1,SBG24000083
10.55,17.3000,1,SPT24000444
0.09,6.4000,1,SBG24000084
5.00,9.7100,1,SPT24000445
4.70,9.7100,1,SPT24000446
0.09,6.5000,1,SPT24000447
113.60,111.4700,1,SPT24000448
96.00,96.7400,1,SPT24000449
78.00,54.6000,1,SPT24000455
110.00,77.0000,1,SPT24000456
1.00,8.0000,1,SPT24000458
17.80,9.5900,1,SPT24000460
18.60,10.1200,1,SPT24000461
0.11,6.4000,1,SPT24000462
17.80,9.5900,1,SPT24000463
8.56,14.1000,1,SPT24000464
68.64,72.3000,1,SPT24000465
113.85,121.3000,1,SPT24000466
54.00,58.8900,1,SPT24000467
0.10,6.5000,1,SPT24000469
72.00,75.1100,1,SPT24000470
8.60,14.1200,1,SPT24000471
6.12,11.9000,1,SPT24000472
15.74,210.6200,3,XEN00001171
4.00,8.6100,1,SPT24000474
35.00,41.7700,1,SPT24000475
5.00,9.7100,1,SPT24000477
5.38,10.8000,1,SPT24000478
45.64,51.6000,1,SPT24000480
51.00,40.8000,1,SPT24000481
21.00,16.8000,1,SPT24000482
74.00,59.2000,9,66660662217000
75.00,60.0000,9,66660664215000
22.70,29.5000,1,SPT24000485
283.00,208.1000,1,SPT24000486
28.84,36.1000,1,SPT24000487
149.00,114.3000,1,SPT24000488
1.00,7.3000,1,SPT24000490
5.00,8.0000,1,SPT24000491
18.60,10.1200,1,SPT24000492
20.00,10.6500,1,SPT24000493
13.11,8.0000,1,SPT24000494
94.80,66.5000,1,SPT24000495
18.60,10.1200,1,SPT24000496
18.40,10.1200,1,SPT24000497
2.25,9.7000,1,SPT24000498
7.00,14.5000,1,SPT24000499
9.00,16.9000,1,SPT24000500
8.00,13.7000,1,SPT24000501
8.00,13.7000,1,SPT24000502
8.00,13.7000,1,SPT24000503
8.00,13.7000,1,SPT24000504
8.00,13.7000,1,SPT24000505
8.00,13.7000,1,SPT24000506
8.00,13.7000,1,SPT24000507
8.00,13.7000,1,SPT24000508
8.00,13.7000,1,SPT24000509
8.00,13.7000,1,SPT24000510
8.00,13.7000,1,SPT24000511
8.00,13.7000,1,SPT24000512
7.90,13.7000,1,SPT24000513
7.90,13.7000,1,SPT24000514
7.90,13.7000,1,SPT24000515
7.99,13.7000,1,SPT24000516
7.90,13.7000,1,SPT24000517
7.90,13.7000,1,SPT24000518
7.90,13.7000,1,SPT24000519
7.66,13.7000,1,SPT24000520
8.00,13.7000,1,SPT24000521
8.00,13.7000,1,SPT24000522
8.00,13.7000,7,NVN00002513
8.00,13.7000,1,SPT24000524
8.00,13.7000,1,SPT24000525
8.00,13.7000,1,SPT24000526
1.00,7.3000,1,SPT24000528
3.20,10.9000,1,SPT24000529
6.50,14.5000,1,SPT24000530
3.00,8.9000,5,MYCQY00006227
12.76,20.9000,1,SPT24000532
17.80,9.5900,1,SPT24000534
7.86,13.7000,5,MYCQY00006228
12.33,8.0000,1,SPT24000536
18.60,10.1200,1,SPT24000537
12.33,8.0000,1,SPT24000538
12.33,8.0000,1,SPT24000539
17.80,9.5900,1,SPT24000540
12.30,22.9000,1,SPT24000541
0.10,15.0500,3,XEN00001172
36.80,65.2000,1,SBG24000094
9.60,21.5000,1,JHB24000038
15.36,30.5000,1,JHB24000039
9.60,21.5000,1,JHB24000040
