consignnote,courier,state,weigh,total,datepickup
SPT24022586,1,"KUALA LUMPUR",6.02,11.4500,"2024-10-07 00:00:00"
SPT24022587,1,"KUALA LUMPUR",3.00,9.5400,"2024-10-07 00:00:00"
SPT24022588,1,SELANGOR,15.00,21.9400,"2024-10-07 00:00:00"
SPT24022589,1,"PULAU PINANG",6.00,11.4500,"2024-10-07 00:00:00"
SBG24004253,1,KELANTAN,14.82,34.0300,"2024-10-08 00:00:00"
SPT24022590,1,TERENGGANU,1.11,6.7800,"2024-10-07 00:00:00"
SPT24022592,1,"KUALA LUMPUR",6.60,12.6100,"2024-10-07 00:00:00"
SBG24004229,1,KEDAH,135.00,158.7900,"2024-10-08 00:00:00"
SPT24022593,1,JOHOR,60.00,44.5200,"2024-10-07 00:00:00"
SPT24022595,1,JOHOR,60.00,44.5200,"2024-10-07 00:00:00"
SPT24022598,1,"NEGERI SEMBILAN",1.00,6.8900,"2024-10-07 00:00:00"
SPT24022599,1,SELANGOR,1.20,6.8900,"2024-10-07 00:00:00"
SPT24022600,1,"PULAU PINANG",1.18,6.8900,"2024-10-07 00:00:00"
XEN00001612,3,SABAH,1.00,15.9500,"2024-10-07 00:00:00"
SPT24022601,1,"PULAU PINANG",1.00,6.8900,"2024-10-07 00:00:00"
SPT24022602,1,"PULAU PINANG",1.00,6.8900,"2024-10-07 00:00:00"
SPT24022603,1,SELANGOR,3.36,16.6400,"2024-10-07 00:00:00"
SPT24022605,1,SELANGOR,40.50,49.9300,"2024-10-07 00:00:00"
SPT24022606,1,SELANGOR,8.10,14.9500,"2024-10-07 00:00:00"
AOR24001533,1,"KUALA LUMPUR",130.72,99.1100,"2024-10-08 00:00:00"
AOR24001534,1,JOHOR,46.74,36.7800,"2024-10-08 00:00:00"
AOR24001535,1,JOHOR,3.40,6.3600,"2024-10-07 00:00:00"
AOR24001536,1,JOHOR,9.05,9.3300,"2024-10-08 00:00:00"
AOR24001537,1,PERAK,8.75,8.5900,"2024-10-08 00:00:00"
SPT24022607,1,"NEGERI SEMBILAN",25.29,37.4200,"2024-10-07 00:00:00"
SBG24004233,1,KEDAH,27.96,39.9600,"2024-10-08 00:00:00"
SPT24022608,1,JOHOR,0.33,6.8900,"2024-10-07 00:00:00"
300063752713,8,PAHANG.,122.00,101.1200,"2024-10-07 00:00:00"
SPT24022609,1,SELANGOR,38.00,36.2500,"2024-10-07 00:00:00"
SPT24022610,1,MELAKA,19.00,18.1300,"2024-10-07 00:00:00"
SPT24022611,1,SELANGOR,113.00,107.8000,"2024-10-08 00:00:00"
300065249783,8,PERAK,32.80,42.2900,"2024-10-07 00:00:00"
300062932288,8,PUTRAJAYA,58.90,67.1000,"2024-10-07 00:00:00"
SPT24022612,1,PAHANG,88.99,66.0400,"2024-10-07 00:00:00"
AOR24001538,1,JOHOR,10.05,10.0700,"2024-10-08 00:00:00"
SPT24022614,1,MELAKA,26.39,38.6900,"2024-10-07 00:00:00"
SPT24022615,1,JOHOR,156.74,179.7800,"2024-10-07 00:00:00"
MYCQY00009112,5,PAHANG,102.00,107.9000,"2024-10-07 00:00:00"
SPT24022617,1,"KUALA LUMPUR",11.13,18.4400,"2024-10-07 00:00:00"
SPT24022618,1,KEDAH,103.88,129.2100,"2024-10-07 00:00:00"
MYCQY00009113,5,SELANGOR,14.00,20.7800,"2024-10-07 00:00:00"
XEN00001613,3,SARAWAK,6.00,85.0500,"2024-10-07 00:00:00"
XEN00001614,3,SABAH,56.00,776.0700,"2024-10-07 00:00:00"
SPT24022619,1,"KUALA LUMPUR",86.38,93.8100,"2024-10-07 00:00:00"
SPT24022620,1,"KUALA LUMPUR",2.08,7.9500,"2024-10-07 00:00:00"
MYCQY00009114,5,SELANGOR,7.50,13.7800,"2024-10-07 00:00:00"
SPT24022621,1,"PULAU PINANG",68.00,64.8700,"2024-10-08 00:00:00"
SPT24022622,1,TERENGGANU,145.00,118.1900,"2024-10-07 00:00:00"
SPT24022623,1,KELANTAN,46.00,54.7000,"2024-10-07 00:00:00"
MYCQY00009115,5,"PULAU PINANG",1.00,6.8900,"2024-10-07 00:00:00"
