consignnote,courier,state,weigh,total,datepickup
SPT23029603,1,JOHOR,112.00,88.4000,"2024-01-01 00:00:00"
SPT23029604,1,JOHOR,66.00,52.8000,"2024-01-01 00:00:00"
SPT23029605,1,JOHOR,407.00,294.9000,"2024-01-01 00:00:00"
SPT23029606,1,JOHOR,180.00,136.0000,"2024-01-01 00:00:00"
JHB23001555,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001556,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001557,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001558,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001559,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001561,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001562,1,"KUALA LUMPUR",1.00,6.5000,"2024-01-01 00:00:00"
JHB23001563,1,SELANGOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001564,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001565,1,JOHOR,2.32,8.9000,"2024-01-01 00:00:00"
JHB23001566,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001567,1,JOHOR,3.11,10.1000,"2024-01-01 00:00:00"
JHB23001568,1,"KUALA LUMPUR",1.00,6.5000,"2024-01-01 00:00:00"
JHB23001569,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001570,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001571,1,SELANGOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001572,1,SELANGOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001573,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001574,1,MELAKA,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001575,1,MELAKA,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001576,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001577,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001578,1,KEDAH,2.29,8.9000,"2024-01-01 00:00:00"
JHB23001579,1,JOHOR,1.00,6.5000,"2024-01-01 00:00:00"
JHB23001580,1,"PULAU PINANG",1.91,7.7000,"2024-01-01 00:00:00"
JHB23001581,1,JOHOR,2.63,8.9000,"2024-01-01 00:00:00"
SPT23029636,1,"KUALA LUMPUR",12.36,19.7100,"2024-01-01 00:00:00"
SPT23029643,1,SELANGOR,7.00,10.5000,"2024-01-03 00:00:00"
SPT23029644,1,"KUALA LUMPUR",2.92,7.7000,"2024-01-01 00:00:00"
SPT23029645,1,"PULAU PINANG",18.40,10.1200,"2024-01-01 00:00:00"
SPT23029646,1,PAHANG,25.50,13.8300,"2024-01-01 00:00:00"
SPT23029647,1,JOHOR,18.40,10.1200,"2024-01-01 00:00:00"
SPT23029648,1,KELANTAN,1.00,8.0000,"2024-01-01 00:00:00"
XEN00001156,3,SABAH,1.00,15.0500,"2024-01-01 00:00:00"
AOR24000001,1,PERLIS,5.15,6.0000,"2024-01-01 00:00:00"
AOR24000002,1,PERLIS,14.20,12.3000,"2024-01-01 00:00:00"
AOR24000003,1,KELANTAN,4.60,6.0000,"2024-01-01 00:00:00"
AOR24000005,1,PERLIS,13.70,11.6000,"2024-01-01 00:00:00"
SPT24000005,1,JOHOR,7.92,16.9000,"2024-01-01 00:00:00"
SPT24000006,1,SELANGOR,34.80,18.6000,"2024-01-01 00:00:00"
SPT24000007,1,MELAKA,25.50,13.8300,"2024-01-01 00:00:00"
SPT24000009,1,PERAK,18.60,10.1200,"2024-01-01 00:00:00"
SPT24000010,1,"PULAU PINANG",25.50,13.8300,"2024-01-01 00:00:00"
SPT24000011,1,PAHANG,25.50,13.8300,"2024-01-01 00:00:00"
SPT24000012,1,SELANGOR,12.33,8.0000,"2024-01-01 00:00:00"
SPT24000013,1,SELANGOR,1.00,6.5000,"2024-01-01 00:00:00"
MYCQY00006201,5,DARULAMAN,1.00,6.5000,"2024-01-01 00:00:00"
SPT24000015,1,"PULAU PINANG",1.00,6.5000,"2024-01-01 00:00:00"
SBG24000001,1,KEDAH,13.96,14.9000,"2024-01-02 00:00:00"
SPT24000017,1,"PULAU PINANG",144.20,146.1000,"2024-01-01 00:00:00"
SBG24000004,1,KEDAH,4.76,5.0000,"2024-01-02 00:00:00"
SPT24000020,1,JOHOR,58.00,46.4000,"2024-01-01 00:00:00"
300045622780,8,JOHOR,111.00,87.6900,"2024-01-01 00:00:00"
SPT24000022,1,JOHOR,153.00,117.1000,"2024-01-01 00:00:00"
SPT24000023,1,"KUALA LUMPUR",3.00,5.0000,"2024-01-01 00:00:00"
JHB24000005,1,JOHOR,6.70,13.7000,"2024-01-01 00:00:00"
JHB24000006,1,"KUALA LUMPUR",2.50,8.9000,"2024-01-01 00:00:00"
SPT24000024,1,PERLIS,0.50,7.3000,"2024-01-01 00:00:00"
SPT24000025,1,KEDAH,4.35,12.1000,"2024-01-01 00:00:00"
SPT24000027,1,"PULAU PINANG",1.00,6.5000,"2024-01-01 00:00:00"
SPT24000021,1,SELANGOR,18.40,10.1200,"2024-01-02 00:00:00"
SPT24000028,1,SELANGOR,18.40,10.1200,"2024-01-02 00:00:00"
SPT24000029,1,"PULAU PINANG",2.00,6.5000,"2024-01-01 00:00:00"
SPT24000030,1,"KUALA LUMPUR",1.00,6.5000,"2024-01-01 00:00:00"
SPT24000031,1,"KUALA LUMPUR",6.00,16.7000,"2024-01-01 00:00:00"
SBG24000008,1,KEDAH,1.00,11.5000,"2024-01-02 00:00:00"
SPT24000032,1,JOHOR,3.00,12.2000,"2024-01-02 00:00:00"
SPT24000033,1,"PULAU PINANG",3.00,12.2000,"2024-01-02 00:00:00"
AOR24000009,1,JOHOR,0.51,6.0000,"2024-01-02 00:00:00"
AOR24000010,1,,25.44,20.0000,"2024-01-02 00:00:00"
AOR24000011,1,JOHOR,20.84,16.5000,"2024-01-02 00:00:00"
AOR24000012,1,JOHOR,13.18,11.6000,"2024-01-02 00:00:00"
AOR24000013,1,,22.90,17.9000,"2024-01-02 00:00:00"
AOR24000014,1,,1.90,6.0000,"2024-01-02 00:00:00"
AOR24000015,1,,18.42,15.1100,"2024-01-02 00:00:00"
AOR24000016,1,,0.95,6.0000,"2024-01-02 00:00:00"
AOR24000017,1,PAHANG,3.58,6.0000,"2024-01-02 00:00:00"
AOR24000018,1,KEDAH,8.58,8.1000,"2024-01-02 00:00:00"
300045688139,8,"NEGERI SEMBILAN",52.00,41.5900,"2024-01-02 00:00:00"
SPT24000035,1,"NEGERI SEMBILAN",15.00,12.0000,"2024-01-02 00:00:00"
SPT24000036,1,"KUALA LUMPUR",33.00,39.9700,"2024-01-02 00:00:00"
SPT24000037,1,"KUALA LUMPUR",22.00,28.4500,"2024-01-02 00:00:00"
SPT24000038,1,PAHANG,330.00,283.1900,"2024-01-02 00:00:00"
SPT24000039,1,JOHOR,55.00,59.7900,"2024-01-02 00:00:00"
SPT24000040,1,JOHOR,22.00,28.4500,"2024-01-02 00:00:00"
SPT24000041,1,JOHOR,44.00,49.8800,"2024-01-02 00:00:00"
SPT24000042,1,JOHOR,11.00,16.3200,"2024-01-02 00:00:00"
SPT24000043,1,"NEGERI SEMBILAN",22.00,28.4500,"2024-01-02 00:00:00"
SPT24000044,1,MELAKA,11.00,16.3200,"2024-01-02 00:00:00"
SPT24000045,1,PERAK,11.00,16.3200,"2024-01-02 00:00:00"
SPT24000046,1,KEDAH,1.69,6.5000,"2024-01-02 00:00:00"
SPT24000047,1,"PULAU PINANG",1.00,6.5000,"2024-01-02 00:00:00"
SBG24000017,1,SELANGOR,0.09,6.4000,"2024-01-02 00:00:00"
JHB24000008,1,"KUALA LUMPUR",6.00,15.5000,"2024-01-02 00:00:00"
JHB24000009,1,"KUALA LUMPUR",19.20,36.5000,"2024-01-02 00:00:00"
JHB24000010,1,"NEGERI SEMBILAN",19.20,36.5000,"2024-01-02 00:00:00"
JHB24000011,1,SELANGOR,39.00,63.2000,"2024-01-02 00:00:00"
SPT24000050,1,JOHOR,203.50,142.8000,"2024-01-03 00:00:00"
SPT24000051,1,"PULAU PINANG",12.33,8.0000,"2024-01-02 00:00:00"
SPT24000052,1,"PULAU PINANG",2.00,5.7500,"2024-01-02 00:00:00"
SPT24000053,1,"PULAU PINANG",2.00,5.7500,"2024-01-02 00:00:00"
SPT24000054,1,"PULAU PINANG",2.00,5.7500,"2024-01-02 00:00:00"
SPT24000055,1,"PULAU PINANG",2.00,8.7500,"2024-01-02 00:00:00"
SPT24000056,1,"KUALA LUMPUR",2.00,5.7500,"2024-01-02 00:00:00"
SPT24000057,1,"PULAU PINANG",6.10,11.9000,"2024-01-02 00:00:00"
SPT24000058,1,SELANGOR,2.08,7.5000,"2024-01-02 00:00:00"
SPT24000059,1,"KUALA LUMPUR",0.70,6.4000,"2024-01-02 00:00:00"
SPT24000060,1,SELANGOR,2.04,6.4000,"2024-01-02 00:00:00"
SPT24000061,1,KELANTAN,0.97,6.4000,"2024-01-02 00:00:00"
SPT24000062,1,PAHANG,1.12,6.4000,"2024-01-02 00:00:00"
SPT24000063,1,"NEGERI SEMBILAN",0.97,6.4000,"2024-01-02 00:00:00"
SPT24000064,1,PENANG,2.00,6.4000,"2024-01-02 00:00:00"
NVN00002488,7,PENANG,11.00,16.3200,"2024-01-02 00:00:00"
SPT24000065,1,PENANG,3.50,8.6100,"2024-01-02 00:00:00"
300045673839,8,PERAK,42.50,48.9800,"2024-01-02 00:00:00"
SPT24000066,1,SELANGOR,118.00,114.6500,"2024-01-02 00:00:00"
SPT24000067,1,SELANGOR,10.00,15.2200,"2024-01-02 00:00:00"
SPT24000068,1,PENANG,3.00,7.5000,"2024-01-02 00:00:00"
SPT24000069,1,"NEGERI SEMBILAN",30.00,37.2700,"2024-01-02 00:00:00"
SPT24000070,1,JOHOR,5.00,9.7100,"2024-01-02 00:00:00"
SPT24000071,1,KEDAH,18.40,10.1200,"2024-01-02 00:00:00"
SPT24000074,1,KEDAH,12.33,8.0000,"2024-01-02 00:00:00"
SPT24000075,1,JOHOR,1.60,10.7000,"2024-01-02 00:00:00"
SPT24000076,1,JOHOR,17.80,9.5900,"2024-01-02 00:00:00"
XEN00001157,3,SARAWAK,2.50,41.1300,"2024-01-02 00:00:00"
MYCQY00006202,5,SELANGOR,0.35,6.4000,"2024-01-02 00:00:00"
SPT24000077,1,"PULAU PINANG",7.67,13.0000,"2024-01-02 00:00:00"
SPT24000078,1,PUTRAJAYA,66.40,70.6100,"2024-01-02 00:00:00"
SPT24000079,1,JOHOR,43.00,34.4000,"2024-01-02 00:00:00"
SPT24000080,1,JOHOR,30.00,24.0000,"2024-01-02 00:00:00"
SPT24000081,1,JOHOR,1.00,8.0000,"2024-01-02 00:00:00"
SPT24000082,1,PENANG,25.50,32.8600,"2024-01-02 00:00:00"
MYCQY00006203,5,PAHANG,90.00,91.3300,"2024-01-02 00:00:00"
SPT24000083,1,PENANG,42.50,48.9800,"2024-01-02 00:00:00"
SPT24000084,1,JOHOR,15.90,8.5300,"2024-01-02 00:00:00"
JHB24000012,1,"NEGERI SEMBILAN",9.60,21.5000,"2024-01-03 00:00:00"
SPT24000085,1,SELANGOR,4.07,10.1000,"2024-01-02 00:00:00"
XEN00001158,3,SARAWAK,0.55,15.0500,"2024-01-02 00:00:00"
SPT24000086,1,"PULAU PINANG",2.00,6.5000,"2024-01-02 00:00:00"
SPT24000087,1,KEDAH,2.00,6.5000,"2024-01-02 00:00:00"
SPT24000088,1,"PULAU PINANG",1.00,6.5000,"2024-01-02 00:00:00"
SPT24000089,1,"PAHANG DARUL MAKMUR",1.00,6.5000,"2024-01-02 00:00:00"
MYCQY00006204,5,TERENGGANU,5.05,10.8000,"2024-01-02 00:00:00"
SPT24000090,1,SELANGOR,0.80,6.4000,"2024-01-02 00:00:00"
SPT24000091,1,SELANGOR,18.70,25.1000,"2024-01-02 00:00:00"
MYCQY00006205,5,TERENGGANU,2.75,7.5000,"2024-01-02 00:00:00"
SPT24000093,1,SELANGOR,36.00,42.6800,"2024-01-02 00:00:00"
SPT24000095,1,"KUALA LUMPUR",98.40,99.4400,"2024-01-02 00:00:00"
SPT24000096,1,SELANGOR,301.40,313.1200,"2024-01-02 00:00:00"
MYCQY00006206,5,TERENGGANU,3.56,12.1000,"2024-01-03 00:00:00"
SPT24000098,1,SELANGOR,1.00,6.5000,"2024-01-02 00:00:00"
SPT24000099,1,"PULAU PINANG",1.36,6.5000,"2024-01-02 00:00:00"
SPT24000100,1,"PULAU PINANG",1.00,6.5000,"2024-01-02 00:00:00"
SPT24000101,1,PAHANG,254.10,178.5000,"2024-01-02 00:00:00"
SPT24000102,1,SELANGOR,98.40,99.4400,"2024-01-02 00:00:00"
SPT24000103,1,"NEGERI SEMBILAN",70.00,108.7000,"2024-01-02 00:00:00"
SPT24000104,1,JOHOR,25.80,36.5000,"2024-01-02 00:00:00"
SPT24000105,1,"KUALA LUMPUR",13.88,20.9000,"2024-01-02 00:00:00"
SPT24000106,1,KELANTAN,78.02,88.1000,"2024-01-02 00:00:00"
SPT24000107,1,JOHOR,184.80,129.5000,"2024-01-02 00:00:00"
SPT24000108,1,JOHOR,50.00,35.0000,"2024-01-02 00:00:00"
SPT24000109,1,PERAK,23.20,30.6600,"2024-01-02 00:00:00"
SPT24000110,1,"NEGERI SEMBILAN",17.00,22.9400,"2024-01-02 00:00:00"
SPT24000111,1,SELANGOR,34.90,41.7700,"2024-01-02 00:00:00"
SPT24000112,1,MELAKA,49.80,55.2900,"2024-01-02 00:00:00"
SPT24000113,1,MELAKA,26.80,33.9600,"2024-01-02 00:00:00"
SPT24000114,1,"KUALA LUMPUR",0.31,6.5000,"2024-01-02 00:00:00"
SPT24000115,1,JOHOR,2.58,8.9000,"2024-01-02 00:00:00"
SPT24000116,1,"KUALA LUMPUR",6.24,12.5000,"2024-01-02 00:00:00"
SPT24000118,1,SELANGOR,20.00,26.2500,"2024-01-02 00:00:00"
SPT24000119,1,PERAK,22.00,28.4500,"2024-01-02 00:00:00"
SPT24000120,1,PERAK,12.00,17.4300,"2024-01-02 00:00:00"
SPT24000121,1,PENANG,5.00,9.7100,"2024-01-02 00:00:00"
SPT24000122,1,SELANGOR,2.00,6.4000,"2024-01-02 00:00:00"
SPT24000123,1,KEDAH,34.80,18.6000,"2024-01-03 00:00:00"
SPT24000124,1,"NEGERI SEMBILAN",9.80,8.0000,"2024-01-03 00:00:00"
SPT24000125,1,PAHANG,18.60,10.1200,"2024-01-03 00:00:00"
SPT24000127,1,"PULAU PINANG",17.80,9.5900,"2024-01-03 00:00:00"
SPT24000129,1,KEDAH,9.80,8.0000,"2024-01-03 00:00:00"
SPT24000130,1,KEDAH,147.00,102.9000,"2024-01-02 00:00:00"
SPT24000131,1,JOHOR,3.30,8.6100,"2024-01-02 00:00:00"
SPT24000132,1,"KUALA LUMPUR",17.80,9.5900,"2024-01-03 00:00:00"
SPT24000133,1,MELAKA,3.60,8.6100,"2024-01-02 00:00:00"
SPT24000134,1,PENANG,12.50,18.5300,"2024-01-02 00:00:00"
SPT24000135,1,"KUALA LUMPUR",13.20,20.9000,"2024-01-02 00:00:00"
SPT24000141,1,SELANGOR,1.66,6.4000,"2024-01-03 00:00:00"
SPT24000142,1,"PULAU PINANG",4.10,9.7000,"2024-01-03 00:00:00"
SPT24000143,1,SELANGOR,2.02,6.4000,"2024-01-03 00:00:00"
SPT24000144,1,"PULAU PINANG",1.00,6.5000,"2024-01-05 00:00:00"
SPT24000145,1,SELANGOR,1.00,6.5000,"2024-01-03 00:00:00"
SPT24000146,1,MELAKA,3.00,7.7000,"2024-01-03 00:00:00"
SBG24000025,1,"PULAU PINANG",0.65,6.5000,"2024-01-04 00:00:00"
MYCQY00006209,5,SELANGOR,0.50,6.5000,"2024-01-03 00:00:00"
MYCQY00006210,5,PERAK,3.00,8.9000,"2024-01-03 00:00:00"
AOR24000019,1,MELAKA,11.90,10.2000,"2024-01-03 00:00:00"
AOR24000020,1,MELAKA,63.00,45.9000,"2024-01-03 00:00:00"
AOR24000021,1,SELANGOR,0.25,6.0000,"2024-01-03 00:00:00"
AOR24000022,1,JOHOR,0.80,6.0000,"2024-01-03 00:00:00"
SBG24000028,1,JOHOR,327.00,354.3100,"2024-01-03 00:00:00"
AOR24000023,1,JOHOR,0.70,6.0000,"2024-01-03 00:00:00"
SPT24000150,1,SELANGOR,116.10,113.8500,"2024-01-03 00:00:00"
SPT24000151,1,"NEGERI SEMBILAN",2.12,6.7400,"2024-01-03 00:00:00"
SPT24000152,1,"PULAU PINANG",2.00,5.7500,"2024-01-03 00:00:00"
JHB24000015,1,SELANGOR,5.00,14.0000,"2024-01-03 00:00:00"
JHB24000016,1,"PULAU PINANG",9.60,21.5000,"2024-01-03 00:00:00"
SPT24000153,1,SELANGOR,4.00,8.6100,"2024-01-03 00:00:00"
AOR24000024,1,KEDAH,8.15,8.1000,"2024-01-03 00:00:00"
AOR24000025,1,PERAK,10.68,9.5000,"2024-01-03 00:00:00"
SPT24000155,1,PUTRAJAYA,31.40,39.0700,"2024-01-03 00:00:00"
SPT24000156,1,"KUALA LUMPUR",9.90,15.2200,"2024-01-03 00:00:00"
SPT24000157,1,"PULAU PINANG",8.60,14.1200,"2024-01-03 00:00:00"
SPT24000158,1,SELANGOR,10.60,8.0000,"2024-01-03 00:00:00"
SPT24000159,1,JOHOR,126.00,98.2000,"2024-01-03 00:00:00"
SPT24000160,1,JOHOR,326.00,238.2000,"2024-01-03 00:00:00"
SPT24000161,1,"PULAU PINANG",8.60,14.1200,"2024-01-03 00:00:00"
SPT24000162,1,KEDAH,10.60,8.0000,"2024-01-03 00:00:00"
SPT24000163,1,JOHOR,66.00,52.8000,"2024-01-03 00:00:00"
SPT24000164,1,KEDAH,17.80,9.5900,"2024-01-03 00:00:00"
SPT24000165,1,JOHOR,12.33,8.0000,"2024-01-03 00:00:00"
JHB24000020,1,"PULAU PINANG",5.00,14.0000,"2024-01-03 00:00:00"
SPT24000166,1,"PULAU PINANG",4.00,8.6100,"2024-01-03 00:00:00"
SPT24000167,1,KELANTAN,1.45,6.5000,"2024-01-03 00:00:00"
SPT24000168,1,"KUALA LUMPUR",4.00,8.6100,"2024-01-03 00:00:00"
SPT24000169,1,"PULAU PINANG",8.00,13.0200,"2024-01-03 00:00:00"
SPT24000170,1,"PULAU PINANG",18.40,10.1200,"2024-01-03 00:00:00"
SPT24000171,1,"KUALA LUMPUR",18.40,10.1200,"2024-01-03 00:00:00"
SPT24000172,1,"PULAU PINANG",5.00,9.7100,"2024-01-03 00:00:00"
SPT24000173,1,MELAKA,3.00,7.5000,"2024-01-03 00:00:00"
XEN00001159,3,Sarawak,0.15,15.0500,"2024-01-03 00:00:00"
XEN00001160,3,Sarawak,0.15,15.0500,"2024-01-03 00:00:00"
XEN00001161,3,Sarawak,0.15,15.0500,"2024-01-03 00:00:00"
8005001792,2,Sarawak,0.15,15.0500,"2024-01-03 00:00:00"
XEN00001162,3,Sarawak,0.15,15.0500,"2024-01-03 00:00:00"
SPT24000175,1,SELANGOR,8.60,14.1200,"2024-01-03 00:00:00"
SPT24000176,1,JOHOR,4.00,8.6100,"2024-01-03 00:00:00"
JHB24000021,1,SELANGOR,4.00,10.1000,"2024-01-03 00:00:00"
JHB24000022,1,"PULAU PINANG",4.35,11.3000,"2024-01-03 00:00:00"
JHB24000023,1,JOHOR,1.23,7.7000,"2024-01-03 00:00:00"
SPT24000177,1,"KUALA LUMPUR",11.60,12.7000,"2024-01-03 00:00:00"
SPT24000178,1,SELANGOR,1.00,8.0000,"2024-01-03 00:00:00"
SPT24000179,1,"KUALA LUMPUR",8.60,14.1200,"2024-01-03 00:00:00"
300045899246,8,TERENGGANU,63.00,50.4000,"2024-01-04 00:00:00"
SPT24000180,1,SELANGOR,47.60,53.4900,"2024-01-03 00:00:00"
SPT24000181,1,JOHOR,21.20,28.4500,"2024-01-03 00:00:00"
SPT24000182,1,SELANGOR,9.80,15.2200,"2024-01-03 00:00:00"
SPT24000183,1,PERAK,120.40,117.0300,"2024-01-03 00:00:00"
SPT24000184,1,"KUALA LUMPUR",0.84,7.3000,"2024-01-03 00:00:00"
MYCQY00006212,5,Selangor,0.09,6.4000,"2024-01-03 00:00:00"
SPT24000185,1,"PULAU PINANG",17.50,24.0400,"2024-01-03 00:00:00"
XEN00001163,3,SABAH,21.00,275.8100,"2024-01-03 00:00:00"
SPT24000186,1,SELANGOR,41.14,52.1000,"2024-01-03 00:00:00"
SPT24000187,1,"KUALA LUMPUR",5.00,9.7100,"2024-01-03 00:00:00"
SPT24000188,1,"PULAU PINANG",8.00,13.0200,"2024-01-03 00:00:00"
SPT24000189,1,"PULAU PINANG",16.00,21.8400,"2024-01-03 00:00:00"
SPT24000190,1,SELANGOR,1.00,8.5000,"2024-01-03 00:00:00"
JHB24000024,1,"KUALA LUMPUR",14.40,30.2000,"2024-01-03 00:00:00"
SPT24000191,1,JOHOR,9.00,21.2000,"2024-01-04 00:00:00"
SPT24000192,1,SELANGOR,24.60,31.6900,"2024-01-03 00:00:00"
MYCQY00006213,5,MELAKA,1.14,6.5000,"2024-01-04 00:00:00"
SPT24000193,1,SELANGOR,309.00,266.4900,"2024-01-03 00:00:00"
SPT24000194,1,SELANGOR,6.80,11.9100,"2024-01-03 00:00:00"
SPT24000195,1,"KUALA LUMPUR",6.55,19.0100,"2024-01-03 00:00:00"
SPT24000198,1,KELANTAN,9.20,10.5000,"2024-01-03 00:00:00"
SPT24000199,1,SELANGOR,2.17,7.7000,"2024-01-03 00:00:00"
SPT24000200,1,"KUALA LUMPUR",61.70,66.1000,"2024-01-03 00:00:00"
SPT24000201,1,SELANGOR,89.90,91.2000,"2024-01-03 00:00:00"
SPT24000202,1,SELANGOR,6.00,10.8100,"2024-01-03 00:00:00"
SPT24000203,1,SELANGOR,38.00,44.4800,"2024-01-03 00:00:00"
SPT24000204,1,SELANGOR,1.00,6.4000,"2024-01-03 00:00:00"
SPT24000205,1,SELANGOR,20.30,22.6000,"2024-01-03 00:00:00"
SPT24000206,1,"KUALA LUMPUR",2.50,7.5000,"2024-01-03 00:00:00"
SPT24000207,1,"PULAU PINANG",17.80,9.5900,"2024-01-04 00:00:00"
SPT24000208,1,JOHOR,8.60,14.1200,"2024-01-03 00:00:00"
SPT24000209,1,KEDAH,25.50,13.8300,"2024-01-04 00:00:00"
SPT24000210,1,PERAK,18.60,10.1200,"2024-01-04 00:00:00"
SPT24000211,1,SELANGOR,8.60,14.1200,"2024-01-03 00:00:00"
MYCQY00006214,5,"KUALA LUMPUR",2.00,6.4000,"2024-01-03 00:00:00"
SPT24000212,1,"KUALA LUMPUR",17.20,24.0400,"2024-01-03 00:00:00"
SPT24000213,1,"PULAU PINANG",312.00,218.4000,"2024-01-03 00:00:00"
SPT24000214,1,MELAKA,7.88,14.9000,"2024-01-04 00:00:00"
SPT24000215,1,"PULAU PINANG",1.00,6.4000,"2024-01-03 00:00:00"
SPT24000216,1,SELANGOR,12.53,21.7000,"2024-01-03 00:00:00"
SPT24000217,1,SELANGOR,8.92,16.1000,"2024-01-04 00:00:00"
SPT24000218,1,SELANGOR,8.98,16.1000,"2024-01-04 00:00:00"
SPT24000219,1,"KUALA LUMPUR",1.80,5.0000,"2024-01-04 00:00:00"
SPT24000220,1,SELANGOR,238.34,243.4100,"2024-01-04 00:00:00"
XEN00001164,3,SARAWAK,0.30,15.0500,"2024-01-04 00:00:00"
SPT24000221,1,SELANGOR,2.50,7.5000,"2024-01-03 00:00:00"
SPT24000222,1,JOHOR,16.00,12.8000,"2024-01-04 00:00:00"
MYCQY00006215,5,MELAKA,21.00,25.2000,"2024-01-04 00:00:00"
JHB24000025,1,JOHOR,2.53,8.9000,"2024-01-03 00:00:00"
JHB24000026,1,JOHOR,1.00,6.5000,"2024-01-03 00:00:00"
JHB24000027,1,JOHOR,1.88,7.7000,"2024-01-03 00:00:00"
JHB24000028,1,JOHOR,1.00,6.5000,"2024-01-03 00:00:00"
JHB24000029,1,JOHOR,1.00,6.5000,"2024-01-03 00:00:00"
JHB24000030,1,JOHOR,1.36,7.7000,"2024-01-03 00:00:00"
SPT24000223,1,PAHANG,7.81,13.7000,"2024-01-03 00:00:00"
SPT24000224,1,SELANGOR,16.60,25.7000,"2024-01-04 00:00:00"
SBG24000054,1,KEDAH,7.00,15.5000,"2024-01-04 00:00:00"
SPT24000225,1,"KUALA LUMPUR",7.00,10.5000,"2024-01-05 00:00:00"
SBG24000053,1,KEDAH,7.00,15.5000,"2024-01-04 00:00:00"
SPT24000226,1,SELANGOR,7.00,10.5000,"2024-01-04 00:00:00"
SPT24000227,1,KELANTAN,0.30,7.3000,"2024-01-03 00:00:00"
SBG24000052,1,KEDAH,7.00,15.5000,"2024-01-04 00:00:00"
SPT24000228,1,JOHOR,136.18,139.7000,"2024-01-03 00:00:00"
SPT24000229,1,"NEGERI SEMBILAN",15.41,12.2000,"2024-01-04 00:00:00"
SPT24000232,1,SELANGOR,1.00,6.5000,"2024-01-04 00:00:00"
AOR24000027,1,PERAK,52.95,38.9000,"2024-01-04 00:00:00"
AOR24000028,1,,8.85,8.1000,"2024-01-04 00:00:00"
AOR24000029,1,,9.20,8.8000,"2024-01-04 00:00:00"
AOR24000030,1,PENANG,11.75,10.2000,"2024-01-04 00:00:00"
SPT24000234,1,"KUALA LUMPUR",1.22,5.7500,"2024-01-04 00:00:00"
SBG24000050,1,KEDAH,52.20,66.6000,"2024-01-04 00:00:00"
SPT24000235,1,SELANGOR,6.00,10.8000,"2024-01-04 00:00:00"
JHB24000031,1,SELANGOR,19.20,36.5000,"2024-01-04 00:00:00"
JHB24000032,1,SELANGOR,5.00,14.0000,"2024-01-04 00:00:00"
AOR24000033,1,JOHOR,2.85,6.0000,"2024-01-04 00:00:00"
SPT24000238,1,SELANGOR,25.70,13.8300,"2024-01-04 00:00:00"
AOR24000034,1,JOHOR,119.70,85.8100,"2024-01-04 00:00:00"
SPT24000239,1,MELAKA,25.50,13.8300,"2024-01-04 00:00:00"
AOR24000035,1,KEDAH,5.25,6.0000,"2024-01-04 00:00:00"
SPT24000240,1,JOHOR,17.80,9.5900,"2024-01-04 00:00:00"
SPT24000241,1,KELANTAN,1.00,8.0000,"2024-01-04 00:00:00"
SPT24000242,1,SELANGOR,18.60,10.1200,"2024-01-04 00:00:00"
MYCQY00006216,5,PAHANG,144.00,135.3200,"2024-01-04 00:00:00"
SPT24000243,1,SELANGOR,33.40,40.8700,"2024-01-04 00:00:00"
SPT24000244,1,SELANGOR,20.00,26.2500,"2024-01-04 00:00:00"
SPT24000245,1,PERAK,18.60,25.1400,"2024-01-04 00:00:00"
SPT24000246,1,SELANGOR,8.50,14.1200,"2024-01-04 00:00:00"
SPT24000248,1,SELANGOR,10.60,8.0000,"2024-01-04 00:00:00"
SPT24000249,1,"KUALA LUMPUR",36.00,47.9000,"2024-01-04 00:00:00"
SPT24000250,1,"Pulau Pinang",1.00,7.3000,"2024-01-04 00:00:00"
SPT24000252,1,SELANGOR,22.70,32.9000,"2024-01-04 00:00:00"
SPT24000253,1,SELANGOR,24.00,30.6600,"2024-01-04 00:00:00"
AOR24000037,1,KELANTAN,98.95,71.1000,"2024-01-04 00:00:00"
SPT24000254,1,SELANGOR,146.20,137.7000,"2024-01-04 00:00:00"
XEN00001165,3,SARAWAK,0.11,15.0500,"2024-01-04 00:00:00"
XEN00001166,3,SARAWAK,0.11,15.0500,"2024-01-04 00:00:00"
MYCQY00006217,5,TERENGGANU,0.04,6.5000,"2024-01-04 00:00:00"
SPT24000258,1,SELANGOR,0.07,6.5000,"2024-01-04 00:00:00"
